"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.04007 0.0018 0.0006
0.04017 0.0006 0.0006
0.04027 0.0015 0.0003
0.04037 0.0009 0.0006
0.04047 0.0009 0.0006
0.04057 0.0018 0.0003
0.04067 0.0003 0.0006
0.04077 0.0015 0.0006
0.04087 0.0009 0.0006
0.04097 0.0015 0.0009
0.04107 0.0009 0.0000
0.04117 0.0012 0.0006
0.04127 0.0009 0.0003
0.04137 0.0009 0.0012
0.04147 0.0021 0.0003
0.04157 0.0009 0.0006
0.04167 0.0009 0.0006
0.04176 0.0012 0.0003
0.04186 0.0015 0.0006
0.04196 0.0015 0.0006
0.04206 0.0012 0.0009
0.04216 0.0009 0.0012
0.04226 0.0015 0.0003
0.04236 0.0012 0.0006
0.04246 0.0015 0.0006
0.04256 0.0009 0.0003
0.04266 0.0015 0.0012
0.04276 0.0012 0.0003
0.04286 0.0009 0.0006
0.04296 0.0018 0.0012
0.04306 0.0009 0.0003
0.04316 0.0015 0.0006
0.04326 0.0024 0.0021
0.04336 0.0012 0.0003
0.04346 0.0009 0.0006
0.04356 0.0015 0.0000
0.04366 0.0018 0.0015
0.04376 0.0009 0.0012
0.04386 0.0018 0.0000
0.04396 0.0009 0.0009
0.04406 0.0015 0.0009
0.04416 0.0015 0.0006
0.04426 0.0018 0.0009
0.04436 0.0012 0.0006
0.04446 0.0009 0.0006
0.04456 0.0015 0.0009
0.04466 0.0015 0.0000
0.04476 0.0018 0.0009
0.04485 0.0009 0.0006
0.04495 0.0012 0.0006
0.04505 0.0015 0.0009
0.04515 0.0018 0.0012
0.04525 0.0015 0.0009
0.04535 0.0012 0.0009
0.04545 0.0018 0.0006
0.04555 0.0021 0.0009
0.04565 0.0012 0.0006
0.04575 0.0018 0.0012
0.04585 0.0015 0.0009
0.04595 0.0015 0.0006
0.04605 0.0012 0.0009
0.04615 0.0018 0.0006
0.04625 0.0015 0.0009
0.04635 0.0024 0.0015
0.04645 0.0009 0.0012
0.04655 0.0018 0.0009
0.04665 0.0018 0.0006
0.04675 0.0018 0.0009
0.04685 0.0015 0.0006
0.04695 0.0012 0.0009
0.04705 0.0018 0.0006
0.04715 0.0015 0.0009
0.04725 0.0018 0.0012
0.04735 0.0015 0.0003
0.04745 0.0018 0.0012
0.04755 0.0012 0.0003
0.04765 0.0015 0.0012
0.04775 0.0018 0.0003
0.04785 0.0018 0.0012
0.04794 0.0018 0.0009
0.04804 0.0024 0.0009
0.04814 0.0018 0.0006
0.04824 0.0018 0.0012
0.04834 0.0018 0.0009
0.04844 0.0021 0.0006
0.04854 0.0018 0.0015
0.04864 0.0012 0.0009
0.04874 0.0018 0.0009
0.04884 0.0015 0.0012
0.04894 0.0018 0.0006
0.04904 0.0018 0.0009
0.04914 0.0018 0.0006
0.04924 0.0021 0.0015
0.04934 0.0018 0.0003
0.04944 0.0012 0.0012
0.04954 0.0018 0.0009
0.04964 0.0024 0.0012
0.04974 0.0018 0.0003
0.04984 0.0018 0.0012
0.04994 0.0018 0.0009
0.05004 0.0021 0.0009
0.05014 0.0018 0.0012
0.05024 0.0018 0.0003
0.05034 0.0018 0.0012
0.05044 0.0018 0.0009
0.05054 0.0018 0.0012
0.05064 0.0018 0.0009
0.05074 0.0021 0.0006
0.05084 0.0012 0.0009
0.05094 0.0024 0.0009
0.05103 0.0018 0.0012
0.05113 0.0015 0.0003
0.05123 0.0021 0.0012
0.05133 0.0018 0.0009
0.05143 0.0018 0.0012
0.05153 0.0021 0.0009
0.05163 0.0018 0.0000
0.05173 0.0018 0.0015
0.05183 0.0012 0.0006
0.05193 0.0021 0.0009
0.05203 0.0018 0.0012
0.05213 0.0021 0.0009
0.05223 0.0018 0.0009
0.05233 0.0024 0.0012
0.05243 0.0018 0.0009
0.05253 0.0018 0.0009
0.05263 0.0021 0.0012
0.05273 0.0018 0.0009
0.05283 0.0021 0.0012
0.05293 0.0018 0.0009
0.05303 0.0021 0.0009
0.05313 0.0018 0.0006
0.05323 0.0021 0.0006
0.05333 0.0021 0.0009
0.05343 0.0018 0.0009
0.05353 0.0018 0.0012
0.05363 0.0027 0.0009
0.05373 0.0018 0.0012
0.05383 0.0018 0.0009
0.05393 0.0018 0.0009
0.05403 0.0024 0.0015
0.05412 0.0018 0.0012
0.05422 0.0024 0.0009
0.05432 0.0018 0.0012
0.05442 0.0018 0.0009
0.05452 0.0024 0.0009
0.05462 0.0027 0.0015
0.05472 0.0027 0.0012
0.05482 0.0018 0.0009
0.05492 0.0018 0.0012
0.05502 0.0021 0.0009
0.05512 0.0021 0.0009
0.05522 0.0024 0.0012
0.05532 0.0018 0.0009
0.05542 0.0027 0.0012
0.05552 0.0018 0.0009
0.05562 0.0021 0.0009
0.05572 0.0021 0.0012
0.05582 0.0024 0.0015
0.05592 0.0018 0.0009
0.05602 0.0027 0.0009
0.05612 0.0018 0.0012
0.05622 0.0024 0.0009
0.05632 0.0024 0.0012
0.05642 0.0021 0.0009
0.05652 0.0024 0.0009
0.05662 0.0018 0.0015
0.05672 0.0027 0.0012
0.05682 0.0018 0.0015
0.05692 0.0030 0.0006
0.05702 0.0021 0.0015
0.05712 0.0024 0.0009
0.05721 0.0024 0.0009
0.05731 0.0021 0.0018
0.05741 0.0033 0.0015
0.05751 0.0024 0.0009
0.05761 0.0021 0.0009
0.05771 0.0030 0.0012
0.05781 0.0018 0.0021
0.05791 0.0027 0.0009
0.05801 0.0024 0.0009
0.05811 0.0027 0.0015
0.05821 0.0021 0.0012
0.05831 0.0024 0.0009
0.05841 0.0024 0.0009
0.05851 0.0021 0.0012
0.05861 0.0024 0.0009
0.05871 0.0024 0.0015
0.05881 0.0021 0.0015
0.05891 0.0024 0.0012
0.05901 0.0027 0.0009
0.05911 0.0027 0.0012
0.05921 0.0030 0.0018
0.05931 0.0018 0.0012
0.05941 0.0021 0.0009
0.05951 0.0024 0.0009
0.05961 0.0027 0.0012
0.05971 0.0027 0.0015
0.05981 0.0024 0.0015
0.05991 0.0024 0.0009
0.06001 0.0027 0.0012
0.06011 0.0024 0.0009
0.06021 0.0021 0.0015
0.06030 0.0030 0.0015
0.06040 0.0027 0.0012
0.06050 0.0021 0.0009
0.06060 0.0024 0.0015
0.06070 0.0027 0.0015
0.06080 0.0027 0.0012
0.06090 0.0030 0.0009
0.06100 0.0018 0.0021
0.06110 0.0033 0.0009
0.06120 0.0021 0.0015
0.06130 0.0027 0.0012
0.06140 0.0024 0.0015
0.06150 0.0027 0.0009
0.06160 0.0024 0.0015
0.06170 0.0027 0.0015
0.06180 0.0027 0.0012
0.06190 0.0030 0.0018
0.06200 0.0027 0.0012
0.06210 0.0027 0.0018
0.06220 0.0027 0.0012
0.06230 0.0027 0.0009
0.06240 0.0024 0.0012
0.06250 0.0027 0.0018
0.06260 0.0027 0.0012
0.06270 0.0030 0.0009
0.06280 0.0021 0.0015
0.06290 0.0027 0.0015
0.06300 0.0030 0.0015
0.06310 0.0030 0.0015
0.06320 0.0030 0.0012
0.06330 0.0027 0.0015
0.06339 0.0030 0.0015
0.06349 0.0030 0.0024
0.06359 0.0027 0.0012
0.06369 0.0027 0.0009
0.06379 0.0027 0.0015
0.06389 0.0024 0.0015
0.06399 0.0033 0.0015
0.06409 0.0027 0.0015
0.06419 0.0027 0.0012
0.06429 0.0027 0.0015
0.06439 0.0024 0.0009
0.06449 0.0033 0.0015
0.06459 0.0027 0.0021
0.06469 0.0027 0.0009
0.06479 0.0033 0.0018
0.06489 0.0027 0.0009
0.06499 0.0024 0.0015
0.06509 0.0027 0.0009
0.06519 0.0027 0.0015
0.06529 0.0024 0.0018
0.06539 0.0027 0.0015
0.06549 0.0033 0.0015
0.06559 0.0030 0.0009
0.06569 0.0030 0.0015
0.06579 0.0027 0.0015
0.06589 0.0021 0.0015
0.06599 0.0030 0.0012
0.06609 0.0027 0.0015
0.06619 0.0027 0.0009
0.06629 0.0033 0.0021
0.06639 0.0027 0.0009
0.06648 0.0027 0.0021
0.06658 0.0024 0.0009
0.06668 0.0033 0.0015
0.06678 0.0027 0.0018
0.06688 0.0027 0.0015
0.06698 0.0033 0.0015
0.06708 0.0027 0.0018
0.06718 0.0027 0.0012
0.06728 0.0024 0.0015
0.06738 0.0027 0.0015
0.06748 0.0033 0.0009
0.06758 0.0027 0.0021
0.06768 0.0027 0.0012
0.06778 0.0033 0.0015
0.06788 0.0027 0.0015
0.06798 0.0027 0.0009
0.06808 0.0027 0.0021
0.06818 0.0033 0.0021
0.06828 0.0024 0.0009
0.06838 0.0030 0.0021
0.06848 0.0030 0.0015
0.06858 0.0030 0.0015
0.06868 0.0030 0.0015
0.06878 0.0030 0.0015
0.06888 0.0033 0.0021
0.06898 0.0024 0.0015
0.06908 0.0030 0.0015
0.06918 0.0033 0.0015
0.06928 0.0027 0.0015
0.06938 0.0030 0.0015
0.06948 0.0030 0.0021
0.06957 0.0030 0.0015
0.06967 0.0030 0.0021
0.06977 0.0027 0.0015
0.06987 0.0030 0.0021
0.06997 0.0030 0.0018
0.07007 0.0039 0.0021
0.07017 0.0030 0.0009
0.07027 0.0033 0.0021
0.07037 0.0027 0.0012
0.07047 0.0027 0.0018
0.07057 0.0030 0.0015
0.07067 0.0030 0.0018
0.07077 0.0024 0.0015
0.07087 0.0036 0.0015
0.07097 0.0030 0.0018
0.07107 0.0027 0.0018
0.07117 0.0027 0.0015
0.07127 0.0033 0.0024
0.07137 0.0021 0.0009
0.07147 0.0039 0.0021
0.07157 0.0027 0.0015
0.07167 0.0027 0.0015
0.07177 0.0036 0.0021
0.07187 0.0033 0.0021
0.07197 0.0027 0.0021
0.07207 0.0027 0.0009
0.07217 0.0030 0.0021
0.07227 0.0030 0.0015
0.07237 0.0030 0.0015
0.07247 0.0027 0.0021
0.07257 0.0030 0.0015
0.07266 0.0033 0.0015
0.07276 0.0033 0.0021
0.07286 0.0033 0.0015
0.07296 0.0030 0.0018
0.07306 0.0033 0.0018
0.07316 0.0033 0.0018
0.07326 0.0033 0.0015
0.07336 0.0030 0.0021
0.07346 0.0027 0.0015
0.07356 0.0030 0.0015
0.07366 0.0036 0.0021
0.07376 0.0027 0.0015
0.07386 0.0033 0.0021
0.07396 0.0033 0.0021
0.07406 0.0027 0.0009
0.07416 0.0033 0.0021
0.07426 0.0030 0.0021
0.07436 0.0027 0.0015
0.07446 0.0039 0.0018
0.07456 0.0051 0.0036
0.07466 0.0030 0.0021
0.07476 0.0033 0.0021
0.07486 0.0033 0.0015
0.07496 0.0033 0.0021
0.07506 0.0027 0.0015
0.07516 0.0036 0.0018
0.07526 0.0033 0.0021
0.07536 0.0027 0.0012
0.07546 0.0033 0.0018
0.07556 0.0027 0.0021
0.07566 0.0036 0.0021
0.07575 0.0036 0.0024
0.07585 0.0039 0.0021
0.07595 0.0030 0.0015
0.07605 0.0033 0.0015
0.07615 0.0027 0.0021
0.07625 0.0033 0.0021
0.07635 0.0036 0.0018
0.07645 0.0039 0.0018
0.07655 0.0030 0.0024
0.07665 0.0033 0.0015
0.07675 0.0036 0.0015
0.07685 0.0033 0.0021
0.07695 0.0027 0.0021
0.07705 0.0036 0.0024
0.07715 0.0033 0.0021
0.07725 0.0036 0.0021
0.07735 0.0030 0.0015
0.07745 0.0036 0.0015
0.07755 0.0033 0.0021
0.07765 0.0030 0.0018
0.07775 0.0039 0.0021
0.07785 0.0036 0.0021
0.07795 0.0033 0.0015
0.07805 0.0030 0.0021
0.07815 0.0033 0.0015
0.07825 0.0033 0.0021
0.07835 0.0081 0.0069
0.07845 0.0039 0.0027
0.07855 0.0030 0.0015
0.07865 0.0042 0.0024
0.07875 0.0042 0.0015
0.07884 0.0033 0.0021
0.07894 0.0036 0.0024
0.07904 0.0036 0.0018
0.07914 0.0027 0.0018
0.07924 0.0033 0.0021
0.07934 0.0036 0.0021
0.07944 0.0033 0.0021
0.07954 0.0033 0.0015
0.07964 0.0036 0.0024
0.07974 0.0042 0.0021
0.07984 0.0027 0.0021
0.07994 0.0036 0.0030
0.08004 0.0039 0.0015
0.08014 0.0027 0.0015
0.08024 0.0036 0.0021
0.08034 0.0036 0.0024
0.08044 0.0039 0.0027
0.08054 0.0039 0.0018
0.08064 0.0039 0.0027
0.08074 0.0030 0.0015
0.08084 0.0042 0.0021
0.08094 0.0039 0.0018
0.08104 0.0036 0.0021
0.08114 0.0036 0.0021
0.08124 0.0033 0.0021
0.08134 0.0033 0.0018
0.08144 0.0039 0.0033
0.08154 0.0039 0.0018
0.08164 0.0039 0.0027
0.08174 0.0039 0.0015
0.08184 0.0036 0.0024
0.08193 0.0036 0.0021
0.08203 0.0042 0.0030
0.08213 0.0045 0.0027
0.08223 0.0042 0.0024
0.08233 0.0036 0.0027
0.08243 0.0042 0.0024
0.08253 0.0036 0.0021
0.08263 0.0039 0.0024
0.08273 0.0039 0.0027
0.08283 0.0039 0.0021
0.08293 0.0030 0.0018
0.08303 0.0042 0.0015
0.08313 0.0033 0.0027
0.08323 0.0036 0.0021
0.08333 0.0033 0.0018
0.08343 0.0036 0.0021
0.08353 0.0033 0.0021
0.08363 0.0042 0.0021
0.08373 0.0030 0.0015
0.08383 0.0042 0.0024
0.08393 0.0048 0.0030
0.08403 0.0036 0.0021
0.08413 0.0033 0.0015
0.08423 0.0039 0.0027
0.08433 0.0039 0.0015
0.08443 0.0036 0.0018
0.08453 0.0045 0.0036
0.08463 0.0039 0.0021
0.08473 0.0036 0.0021
0.08483 0.0036 0.0021
0.08493 0.0036 0.0015
0.08502 0.0039 0.0024
0.08512 0.0039 0.0021
0.08522 0.0039 0.0030
0.08532 0.0039 0.0021
0.08542 0.0039 0.0024
0.08552 0.0036 0.0021
0.08562 0.0027 0.0015
0.08572 0.0036 0.0015
0.08582 0.0039 0.0027
0.08592 0.0045 0.0030
0.08602 0.0033 0.0021
0.08612 0.0045 0.0018
0.08622 0.0036 0.0021
0.08632 0.0042 0.0021
0.08642 0.0036 0.0021
0.08652 0.0039 0.0018
0.08662 0.0036 0.0021
0.08672 0.0036 0.0021
0.08682 0.0033 0.0021
0.08692 0.0042 0.0024
0.08702 0.0042 0.0015
0.08712 0.0039 0.0036
0.08722 0.0039 0.0015
0.08732 0.0036 0.0027
0.08742 0.0042 0.0018
0.08752 0.0036 0.0027
0.08762 0.0045 0.0024
0.08772 0.0033 0.0015
0.08782 0.0042 0.0027
0.08792 0.0036 0.0018
0.08802 0.0036 0.0021
0.08811 0.0039 0.0021
0.08821 0.0036 0.0021
0.08831 0.0036 0.0021
0.08841 0.0033 0.0018
0.08851 0.0042 0.0030
0.08861 0.0036 0.0018
0.08871 0.0033 0.0018
0.08881 0.0030 0.0015
0.08891 0.0039 0.0021
0.08901 0.0036 0.0021
0.08911 0.0036 0.0021
0.08921 0.0036 0.0018
0.08931 0.0048 0.0033
0.08941 0.0036 0.0015
0.08951 0.0036 0.0024
0.08961 0.0039 0.0021
0.08971 0.0039 0.0021
0.08981 0.0033 0.0018
0.08991 0.0036 0.0021
0.09001 0.0042 0.0021
0.09011 0.0036 0.0021
0.09021 0.0048 0.0033
0.09031 0.0036 0.0021
0.09041 0.0036 0.0021
0.09051 0.0036 0.0021
0.09061 0.0042 0.0024
0.09071 0.0042 0.0015
0.09081 0.0036 0.0027
0.09091 0.0039 0.0021
0.09101 0.0036 0.0018
0.09111 0.0042 0.0027
0.09120 0.0036 0.0021
0.09130 0.0045 0.0018
0.09140 0.0048 0.0021
0.09150 0.0030 0.0024
0.09160 0.0042 0.0018
0.09170 0.0042 0.0030
0.09180 0.0036 0.0018
0.09190 0.0036 0.0021
0.09200 0.0048 0.0021
0.09210 0.0051 0.0042
0.09220 0.0036 0.0018
0.09230 0.0033 0.0021
0.09240 0.0039 0.0021
0.09250 0.0039 0.0030
